Country,Happiness,Family,Health,Freedom
Afghanistan,3.79399991,0.581543326,0.180746779,0.10617952
Albania,4.644000053,0.803685248,0.731159747,0.381498635
Algeria,5.872000217,1.146217465,0.617584646,0.233335808
Angola,3.795000076,1.10441196,0.049868666,0
Argentina,6.598999977,1.440451145,0.695137084,0.494519204
Armenia,4.375999928,1.007483721,0.637524426,0.198303267
Australia,7.28399992,1.510041952,0.843886793,0.601607382
Austria,7.006000042,1.459944963,0.815328419,0.56776619
Azerbaijan,5.234000206,1.152400255,0.540775776,0.398155838
Bahrain,6.086999893,1.323110461,0.653133035,0.536746919
Bangladesh,4.607999802,0.735131741,0.533241034,0.478356659
Belarus,5.568999767,1.444945216,0.637714267,0.295400262
Belgium,6.890999794,1.462312698,0.818091869,0.539770722
Belize,5.955999851,1.081417799,0.450191766,0.547509372
Benin,3.657000065,0.435299844,0.209930211,0.425962776
Bhutan,5.011000156,1.340126514,0.495879292,0.501537681
Bolivia,5.822999954,1.227619052,0.47363025,0.558732927
Bosnia and Herzegovina,5.18200016,1.069335938,0.705186307,0.204403177
Botswana,3.766000032,1.221554995,0.341755509,0.505196333
Brazil,6.635000229,1.431306005,0.616552353,0.437453747
Bulgaria,4.714000225,1.434379458,0.70821768,0.289231718
Burkina Faso,4.032000065,1.043280005,0.215844259,0.324367851
Burundi,2.904999971,0.629793584,0.151610792,0.059900753
Cambodia,4.168000221,1.006238341,0.429783404,0.633375823
Cameroon,4.695000172,0.946018219,0.132892117,0.430388749
Canada,7.315999985,1.481348991,0.834557652,0.611100912
Central African Republic,2.693000078,0,0.018772686,0.270842046
Chad,3.936000109,0.953855872,0.041134715,0.162342027
Chile,6.65199995,1.284024954,0.819479704,0.376895279
China,5.272999763,1.160837412,0.741415501,0.472787708
Colombia,6.356999874,1.402182937,0.595027924,0.477487415
Congo (Brazzaville),4.290999889,0.832044363,0.289957434,0.435025871
Congo (Kinshasa),4.28000021,1.229023457,0.191407025,0.235961348
Costa Rica,7.078999996,1.416403651,0.759509265,0.58013165
Croatia,5.293000221,0.967983007,0.701288521,0.255772293
Cyprus,5.620999813,1.131363273,0.844714701,0.355111539
Czech Republic,6.609000206,1.433885217,0.754444003,0.490946174
Denmark,7.521999836,1.551121593,0.792565525,0.626006722
Dominican Republic,5.230000019,1.402416706,0.574873745,0.552589834
Ecuador,6.007999897,1.286168814,0.685636222,0.455198199
Egypt,4.735000134,0.997471392,0.520187259,0.282110155
El Salvador,6.002999783,1.182125092,0.596018553,0.43245253
Estonia,5.611000061,1.4766711,0.695168316,0.47913143
Ethiopia,4.460000038,0.864669204,0.353409708,0.408842742
Finland,7.468999863,1.540246725,0.80915767,0.617950857
France,6.441999912,1.387776852,0.844465852,0.470222116
Gabon,4.465000153,1.155620217,0.356578588,0.312328577
Georgia,4.285999775,0.570614934,0.649546981,0.309410036
Germany,6.951000214,1.472520351,0.798950732,0.562511384
Ghana,4.119999886,0.873664737,0.295637727,0.423026294
Greece,5.227000237,1.239414573,0.810198903,0.095731251
Guatemala,6.453999996,1.255585194,0.54023999,0.531310618
Guinea,3.506999969,0.791244686,0.194129139,0.348587513
Haiti,3.602999926,0.640449822,0.27732113,0.030369857
Honduras,5.181000233,1.143944979,0.58256948,0.34807986
"Hong Kong S.A.R., China",5.472000122,1.262790918,0.943062425,0.490968645
Hungary,5.323999882,1.343133092,0.687763453,0.175863519
Iceland,7.504000187,1.610574007,0.833552122,0.627162635
India,4.315000057,0.754372597,0.455427617,0.469987005
Indonesia,5.262000084,1.274444699,0.492345721,0.443323463
Iran,4.691999912,0.711551249,0.639333189,0.249322608
Iraq,4.497000217,0.978613198,0.50118047,0.288555533
Ireland,6.977000237,1.558231115,0.809782624,0.573110342
Israel,7.212999821,1.376289964,0.838404,0.405988604
Italy,5.964000225,1.444923282,0.853144348,0.256450713
Ivory Coast,4.179999828,0.90478003,0.04864217,0.447706193
Jamaica,5.31099987,1.368218064,0.641022384,0.474307239
Japan,5.920000076,1.436337829,0.913475871,0.505625546
Jordan,5.335999966,1.239088893,0.604590058,0.418421149
Kazakhstan,5.818999767,1.384369016,0.606041551,0.437454283
Kenya,4.552999973,1.067950726,0.30998835,0.452763766
Kosovo,5.278999805,1.137853503,0.54145205,0.260287941
Kuwait,6.105000019,1.259698749,0.632105708,0.496337593
Kyrgyzstan,5.004000187,1.394238591,0.553457797,0.454943389
Latvia,5.849999905,1.404714942,0.638566971,0.325707912
Lebanon,5.224999905,1.129624248,0.735081077,0.288515985
Lesotho,3.808000088,1.190095186,0,0.390661299
Liberia,3.532999992,0.872117937,0.229918197,0.332881182
Libya,5.525000095,1.35756433,0.52016902,0.46573323
Lithuania,5.90199995,1.473516107,0.62894994,0.234231785
Luxembourg,6.862999916,1.457583666,0.845089495,0.596627891
Macedonia,5.175000191,1.207893014,0.644948184,0.325905979
Madagascar,3.644000053,0.913020372,0.375223309,0.189196765
Malawi,3.970000029,0.512568831,0.315089583,0.466914654
Malaysia,6.084000111,1.284646034,0.618784428,0.402264982
Mali,4.190000057,1.281473398,0.169365674,0.306613743
Malta,6.52699995,1.488411665,0.821944237,0.588767052
Mauritania,4.291999817,1.27203083,0.28534928,0.096098043
Mauritius,5.629000187,1.20956099,0.638007462,0.491247326
Mexico,6.578000069,1.21086216,0.709978998,0.412730008
Moldova,5.837999821,1.251825571,0.589465201,0.240729049
Mongolia,4.954999924,1.493011236,0.557783484,0.394143969
Montenegro,5.236999989,1.238376498,0.667464674,0.194989055
Morocco,5.235000134,0.774864435,0.597710669,0.408158332
Mozambique,4.550000191,0.870701015,0.106654435,0.480791092
Myanmar,4.545000076,1.123235941,0.397522569,0.514492035
Namibia,4.573999882,1.098470807,0.338611811,0.520303547
Nepal,4.961999893,1.179283261,0.504130781,0.440305948
Netherlands,7.376999855,1.428939223,0.810696125,0.585384488
New Zealand,7.31400013,1.548195124,0.816759706,0.61406213
Nicaragua,6.071000099,1.28721571,0.653095961,0.447551847
Niger,4.027999878,0.993025005,0.268505007,0.363658696
Nigeria,5.073999882,1.215770483,0.05691573,0.394952565
North Cyprus,5.809999943,1.186303377,0.834647238,0.471203625
Norway,7.537000179,1.53352356,0.796666503,0.635422587
Pakistan,5.269000053,0.67269069,0.402047783,0.235215262
Palestinian Territories,4.775000095,1.155647159,0.565666974,0.254711062
Panama,6.452000141,1.373192549,0.706156135,0.550026834
Paraguay,5.493000031,1.50728488,0.579250693,0.473507792
Peru,5.715000153,1.218770385,0.630166113,0.450002879
Philippines,5.429999828,1.253917575,0.468009055,0.585214674
Poland,5.97300005,1.44571197,0.699475348,0.520342112
Portugal,5.195000172,1.367043018,0.795843542,0.4984653
Qatar,6.375,1.27429688,0.710098088,0.604130983
Romania,5.824999809,1.15009129,0.685158312,0.457003742
Russia,5.962999821,1.469282389,0.547349334,0.373783112
Rwanda,3.470999956,0.945707023,0.326424807,0.581843853
Saudi Arabia,6.343999863,1.286677599,0.59014833,0.449750572
Senegal,4.534999847,1.179691911,0.409362853,0.377922267
Serbia,5.394999981,1.258189797,0.650784671,0.208715528
Sierra Leone,4.709000111,0.984136045,0.005564754,0.318697691
Singapore,6.572000027,1.353814363,0.949492395,0.549840569
Slovakia,6.09800005,1.505059242,0.712732911,0.295817465
Slovenia,5.757999897,1.452518821,0.790828228,0.572575808
Somalia,5.151000023,0.721151352,0.113989137,0.602126956
South Africa,4.828999996,1.384788632,0.18708007,0.479246736
South Korea,5.837999821,1.128274441,0.900214076,0.257921666
South Sudan,3.59100008,0.601323128,0.163486004,0.147062436
