title	body	date	rating
Makes Windows Vista look like a…	Makes Windows Vista look like a masterpiece.Typical Microsoft ill-conceived, badly executed garbage. Trying quitting this steaming pile of @#$3, good luck! Assuming, of course, it hasn't crashed for no obvious reason or any reason it cares to tell you about.User-interface that is perfect for torturing terrorism suspects	2019-05-06	1
All the older versions worked perfectly…	All the older versions worked perfectly but the new skype is horrible, before you could see the share screen and everyones cams at the same time and you could change their sizes but now this Ducking trash piece of chit microsoft only lets you see 1 window at a time, the connection is horrible even when my internet speed is over 100mbs The new skype is a complete piece of chit and should not have ever existed. Atleast if they were going to do a chit like this they shouldnt have blocked the old good versions. Its like microsoft wants everyone to kill themselves over the chit quality of skype.	2019-05-06	1
I've been using skype since 2008	I've been using skype since 2008. It was a great program. But these new updates just suck. Lags, Interface, horrible to use.	2019-04-28	1
Account debacle	Logging into Skype has turned into a real debacle. The incompetent MS team has created the perfect trap for the elderly user. The trap is set by something as innocent (and very frequent for the elderly) as forgetting your own password. This is used by Skype as an opportunity to suggest to the user to create a MS account with which to log into Skype. After the unsuspected user agrees, the trap closes in. His entire history and friends list in his old account are rendered inaccessible. Moreover, even years later when the user tries to log into to the old account, his current account is rendered inaccessible. Skype gets into an infinite loops saying that the user account or password are incorrect. This happens even after the user changes the password of his current account through sms authentication. This entire thing us cursed. Avoid!	2019-04-27	1
I use Skype for talking with my friends	I use Skype for talking with my friends. Very good application, but sometimes the connection is not good, but I think this happens because of my Internet speed.	2019-04-26	4
Horrible new version that they force…	Horrible new version that they force upon u.	2019-04-25	1
new skype 8 sucks horrid!	new skype 8 sucks horrid!- no chatbox resize possibility- totally overloaded chatbox surroundings too, with way too many stuff nobody really needs- messages take years to load and go through, microsoft is a joke to release something like this to the public- it just is slow slow, it lags lags, i never had such delays and lags with any prior skype version, everything was perfect until 7.42 version for 10 years and now look at this new skype 8 nothing worse ever made.	2019-04-24	1
Video with no problems, chats crash occasionally	I have been using Skype for chatting with colleagues, but it crashes from time to time and I need to restart it and wait for it to load. With calls I had no problems.	2019-04-23	4
Have not had a single uninterrupted…	Have not had a single uninterrupted skype call. The connection inevitably drops, the sound is terrible and the video constantly lags or freezes.	2019-04-22	1
Skippy is dead	Skippy is dead. RIP Skippy. When I try and sign in only my email of 10 years ago comes up. Poor Skippy. I have tried about 10 times now to reset password and email. New email works. Skippy barked. But the password does not. Skippy Farted. So this is called a circle of hell. There are no more humans at microsoft so I am not prepared to spend another hour on useless forums. Bye bye Skippy. You are dust	2019-04-19	1
Used to be more-less usable	Used to be more-less usable, not anymore! 'well done' Microsoft	2019-04-18	1
A shadow of it's former self	Skype has just gone downhill after being bought by Microsoft, the new UI is pretty terrible and constantly shifting arround the buttons is just annoying. Still, it gets the job done when you need to call someone.	2019-04-17	3
Skype is the WORST product you hate to…	Skype is the WORST product you hate to LOVE. If it weren't for the constant forced updates, the shifting of the buttons and everything else, it would be horrible. I receive at least 10 spam calls every single day! It's the best part about it really. Then one time, I tried to delete my skype phone number. That was great. I couldn't, and even more, I can't even keep people from calling me! Talk about customer satisfaction. Imagine. This is the most technical company on the planet (Microsoft) and we can't delete a number immediately. And people think we went to the moon!!  HAHAHAHA.	2019-04-15	5
Skype is just so bad now a the hands of MS.	"Why oh why every time I go to use Skype do I have to re-learn its interface because of yet another ""clever"" idea.  Used to be so simple to use, now Microsoft have their hands on it, its just infuriating to work with."	2019-04-15	1
Ruined Skype with new forced update	Skype Classic was a perfect, simple to use tool. Now Microsoft is forcing an update that removed key features and has now become an electron app that is unacceptable. Microsoft also ignores everyone's request to bring back the original classic and now forces people to use their terrible new version. Shame what has happened to Skype.	2019-04-13	1
sucks	sucks.  Logs out all the time.	2019-04-10	1
No longer a useful tool	Used to be a light, functional and useful little assistant for work and family - MS has ignored its seasoned user base requests for a version of Classic to be available to those who want it and proceed to force features, privacy invasions and updates.  I will be putting in as much energy in encouraging my contacts to switch to any other app as i once put into promoting Skype until and unless MS provides a reasonable version.. if you want to know what that entails then look at V7 and previous.	2019-04-05	1
It is truly sad to see what has…	It is truly sad to see what has happened to skype since Microsoft acquired it.  Years ago there were some connection quality issues caused by very variable data-connection-quality (not skype's fault). Now there is just a merry-go-round of patches and up(down?)grades with each release becoming less good than it's predecessor. At the moment I cannot get any notification of receiving messages and my calls randomly drop out - only reestablishing 70% of the time. My contacts' status indications are rarely accurate. Despite having a 28-50Mb connection.Microsoft should be ashamed of themselves. I am now going to have to move to WhatsApp - which I have resisted for a couple of years, but now my 'experience has been improved' in Skype to the point that I give in.	2019-04-04	1
do you know what time it is	time for you to ligma balls	2019-04-02	1
Not good for business	Bad. Constantly needs to reinstall. Password reset texts don't arrive. Really inconvenient to use across multiple devises. Was good once.	2019-04-02	1
An insult to its users	Now uses an interface that insults its users with imbecilic graphics one can't disable, contact list so pointless (it 'helpfully' heads each name with the first letter) that one has to scroll down to see them all, a constant demand to update every time it is opened without- again, showing its contempt for its users- any opportunity to disable... Am now trying other substitutes that don't employ childish emojis and focuses on appearing serious and professional.	2019-03-29	1
Skype was reliable back when I…	Skype was reliable back when I purchased a phone number, 13 years ago. Now the software is so slow that when I try to answer the phone, the caller gives up and hangs up before the software responds.Also, there is no way for the notification number to go away, when there is a new message. Once you get a message, the number stays with the Skype taskbar icon until you shut the software down, no matter how many times you open the chat with the new message.Because of the software issues, I'd have dumped this service years ago, but the phone number I purchased is the contact number we gave a lot of companies and vendors.	2019-03-22	1
charged me twice on my subscription…	charged me twice on my subscription when i tried to complain they said they can only deal by chat and said if they refunded me i would lose my Skype number DO NOT USE THEM FOR NUMBERS	2019-03-21	1
Will not be renewing my subscription	"I am a paid subscriber and have been with Skype for several years. I am a desktop user. When Skype 8 came out I kept switching back to Skype 7 because version 8 was terrible. No individual chat windows, no customizable hot keys, could not resize the text input area, no font choices like font face and size. They eventually rolled out split window but only for the huge clunky windows 10 app and not for the desktop version.  Finally they forced users clinging to their fully functional version 7 into the terrible version 8 which lacks so many features of version 7 that it's not an ""upgrade"" at all it's a serious downgrade. They are not listening to the users who have voted highly on Uservoice for either the return of version 7 or to add the missing features into the version 8 desktop client (not the app).  This is unacceptable for people who paid for the service and for people who use this product for work and cannot get usual tasks done because some of the features they rely heavly upon have been removed."	2019-03-21	1
This is how a corporation like…	"This is how a corporation like Microsoft may destroy a good software. Skype has been for a long time a perfect communication tool. Then, Microsoft bought it, made really bad ""improvements"" and now Microsoft does not allow the use of older versions."	2019-03-21	1
Seriously Microsoft this is so sad	Seriously Microsoft this is so sad. I usually dont write reviews but this app was bothering me know for months. First of all is the new UX design totally retarde d. I am a paying customer for Skype to Phone and took me a long time to find out how to even make a phonecall. The whole UX is very unpleasant. Then once i forgot my password. OMG what a drama to recover it. Had to solve some weird puzzles and then choose a password that i never used before. Who came up with this??? Thats the reason why people forget their passwords if you make them choose weird ones. Anyway now the design changed again and i am trying to pay for my Skype to Phone credit since its almost on 0. But guess what? I cannot find it. I am switching between the microsoft account and the skype account and i cannot find where to make the payment t. I only see the ret arded option to add 5 USD via auto recharge. But thats not what i want. Seriously guys, what a major fuckup. Totally lost my patience. I already thought that maybe i am just to stupid but then i check the reviews here and everybody has the same problems. Microsoft this is so sad. I was using your software since i was a child. Playing Fifa 98 on my Windows computer and so on. Everybody at my company already switched to Apple but I was like no I am used to Windows and i love it. But after today i am done with you Microsoft. Nice fucku p, seriously....	2019-03-21	1
Skype version 8.41 is the worst version to dates	Just been forced to upgrade to the latest Skype version 8.41.... what a load of rubbish... why cant they leave it alone, this version is worse than the previous one (and that one was crap) and appears to have less functionality.The most annoying thing with this new version is the lack of ability to resize the incoming video a text at the same time.It turns on my speakers when i have purposely turned them offI cant see myself when video and texting.	2019-03-20	1
biggest .... in the human history	biggest .... in the human history	2019-03-19	1
My exerience with skype is terrible	My exerience with skype is terrible. I had 2 skype accounts and skype deducted 10 Euro every month since 2017. As I cannot log into my old account I was not able to stopp the payments. The customer service was terrible. After nearly 2 hours on the chatline - eventually they said that they would stop my payments. I am still not able to log into this old account despite giving them all information. (Payments transaction numbers etc. I have lost a lot of money and will probably never see it again. I will not use Skype anymore as it is really a scam. They prey on vulnerable  people and make is so difficult to deal with. It took many times before I managed to get a customer chat person. Did not work on my PC.  Kept saying there is an error etc. All types of excuses and technical issues. . Stay away from Skype is my advice to anybody. I am using Tesco now. Calls are only 1 cent / minute for Germany and many other countries. I hope skype will stopp clearing out my bank account. Not sure what else to do.	2019-03-16	1
Absolutely atrocious	"Absolutely atrocious. Microsoft bought up a serious communication tool and replaced it with a social media app for kids. When I say ""replaced"", I mean replaced. Skype 8 isn't a new version of the same program, it's a new, crappy chat app that steals the Skype brand, and they've killed the original Skype we knew and loved.What makes it truly unusable for a purpose for which I've been using it for years is that I need to be able to access old chat history in an organized manner, but Microsoft has simultaneously taken away local storage, placed a time limit on the history, taken away the ability to ""jump back"" to earlier times, and made it impossible to copy more than a couple of screenfuls at a time. Also, small amount you can copy no longer comes out in an organized fashion with bracketed time/date stamps at the beginning of each message. The copied/pasted text doesn't show dates, and is messy and hard to read. At the same time they've taken this away, they've also taken away the ability to export chat history.So they've basically limited it to real time chat and SCREWED everyone who was relying on it for record keeping. Sure, we can find other programs, but we chose Skype because of the features that it had, and now we lose data continuity because of Microsoft's arrogance and callousness.There is absolutely no excuse for treating users like this. Microsoft clearly doesn't care how disruptive it is to people's lives to take away features by the boatload and force unnecessary changes down people's throats in programs that they RELY on. It's not ""an inconvenience"", as their reps patronizingly call it, it has a real impact on important aspects of people's lives. This is not only making me abandon Skype and convince other people to abandon it, it makes me mistrust Microsoft's brand by showing that they can't be relied on to maintain a consistent feature set and they bully their users.I didn't even need them to continue developing and improving Skype Classic, I just needed them to continue patching any new security issues and otherwise leave it the hell alone. Even that was apparently too much to ask!STAY AWAY FROM SKYPE AND AVOID MICROSOFT SOFTWARE AS MUCH AS POSSIBLE IF YOU KNOW WHAT'S GOOD FOR YOU!Now excuse me while I go and do something I should have done a long time ago...install Linux on my primary computer. And this is coming from someone with an MCSE certification."	2019-03-16	1
From Gold to Dirt	I was kind of okay with having to downgrade once Skype 8 was rolled out, Skype 8 is utter garbage and is missing core functions and feels dumbed down in very unintuitive ways, what a waste of energy and money to make something NOBODY WANTS, you have improved nothing and nobody appreciates what you have done here Micro$oft, how do you not get it, do you even read these reviews?Now i get a message that i cannot use skype unless i update it to the new horrible sh!tshow, and as i dislike being shovel fed by people who think they know whats best for me even when me and many others don't agree, not allowing me choice in the matter i am going to stop using the application, Microsoft is seriously out of touch.The original dev team must be so sad.	2019-03-16	1
2 hours wait for live chat to get help…	2 hours wait for live chat to get help with ipad update that does not work, finally just gave up. Hopeless, and useless people	2019-03-11	1
Fcck you Microcock	Fcck you Microcock. You are a bunch of useless tosspots, and you've ruined Skype with every update. Version 8 is total kankerkut. Go fcck yourselves, you authoritarian tw@ts.	2019-03-09	1
I HATE the new version of Skype	If I could rate less than one star, I would.Skype used to be a simple and easy way to keep in touch with loved ones who live far away. Now, it is buggy, complicated, and in all aspects, AWFUL.I mostly used it for the fact that you can video call and share screens, and unfortunately, I can’t find any other app that runs the way the old skype did. I am so aggravated with Microsoft.It is the worst application I have ever come across and I am severely disappointed in Skype.	2019-03-08	1
How awful is the new Skype?	"How awful is the new Skype?I cannot count the ways.Old version worked beautifully Whenever I was running low in my ""wallet,"" I simply topped up and carried on as usual. Now I have to ""Subscribe.""Internal applications have been moved all over the place in counterintuitive ways.If I ran my business with the tone deafness and utter arrogance of Microsoft, I would be out of business within a week.Millions of users have complained on message boards, and the response of the M$ moderators is to say, ""Your concerns have been noted,"" and promptly lock the thread.I used ooVoo for other users with ooVoo and found it worked incredibly well for users for all over the world, and Skype for international calls for people not on the app.Remember King Midas? Everything he touched turned to gold. Well, think of Microsoft as the mirror image of King Midas. Everything it lays its hands on turns to, well, do the math, dear reader, do the math."	2019-03-05	1
let us use the old version	let us use the old version	2019-03-05	1
In hands of microsoft	In hands of microsoft - skype transformed in piece of utter buggy crap ...long live telegram ..!	2019-03-04	1
Garbage	"Garbage. Always runs on background, no option to shut down completely since it decides for you to minimise and ""eat"" your computer's memory, just in case someone calls you. (truth is it simply datamines). Heavy app, hugh RAM/CPU consumption"	2019-03-03	1
What a garbage this new version is!	What a garbage this new version is!! Dont get new message notifications, no option to change the sounds,  people not in my contact list ( not added yet  or already taken off) can still contact me through text .Garbage!	2019-03-03	1
Microsoft reinvented idiocy!	Dump the Skype CRAP and use Whatsapp - a wonderfully intuitive, easy yet powerful product! An end of nightmare!	2019-03-02	1
I have used Skype since it first came…	I have used Skype since it first came out 20 odd years ago. I always loved it for its simplicity. But since Microsoft took over it has gotten progressively stupidER and UgliER and more difficult to use. Until now it is practically impossible to use. It is by far the Number ONE worst piece of s..t software EVER. From someone who once thought it was the BEST EVER	2019-03-01	1
